Kanji	Hiragana	English	SuccessRate
調子	ちょうし	tune, tone, key	0.88
義務	ぎむ	duty, obligation, responsibility	0.8
謎	なぞ	riddle, puzzle, enigma	0.78
足す	たす	to add a number	1.0
行う	おこなう	to do	0.88
博士	はかせ	doctorate, PhD	1.0
量	りょう	quantity, amount, volume, portion (of food)	0.92
湾	わん	bay, gulf, inlet	0.88
季節	きせつ	season	1.0
上	かみ	(1) first volume, (2) superior quality, (3) governmental	0.88
生き物	いきもの	living thing, animal	1.0
次々	つぎつぎ	in succession, one by one	0.88
教育	きょういく	education	0.75
沸く	わく	to boil,  to grow hot, to get excited	0.88
記録	きろく	record, minutes, document	0.74
規則	きそく	regulations	0.77
幸運	こううん	good luck, fortune	0.78
	まあ	(female) you might say	0.88
上京	じょうきょう	proceeding to the capital (Tokyo)	0.78
等	など	et cetera, etc., and the like	0.88
	そっと	face of the earth	0.78
自慢	じまん	pride, boast	0.78
石油	せきゆ	oil, petroleum, kerosene	0.82
大体	だいたい	generally	0.85
率	りつ	rate, ratio, proportion, percentage	0.7
	トランプ	playing cards (lit: trump)	0.88
故郷	こきょう	home town, birthplace, old village, historic village	0.75
余裕	よゆう	surplus, composure, margin, room, time, allowance, scope, rope	0.67
真っ赤	まっか	deep red, flushed (of face)	0.88
航空	こうくう	aviation, flying	0.88
	しばしば	often, again and again, frequently	0.88
訴える	うったえる	to sue (a person), to resort to, to appeal to	0.8
隅	すみ	corner, nook	0.88
貼る	はる	to stick	0.88
落る	おちる	to fall or drop	0.88
巨大	きょだい	huge, gigantic, enormous	0.88
贅沢	ぜいたく	luxury, extravagance	0.73
費用	ひよう	cost, expense	0.83
独り	ひとり	alone, unmarried	1.0
絶滅	ぜつめつ	destruction, extinction	0.88
洋服	ようふく	western-style clothes	1.0
出席	しゅっせき・する	to attend	0.88
撃つ	うつ	to attack, to defeat, to destroy	0.88
舌	した	tongue	0.88
正午	しょうご	noon, mid-day	0.78
	いらっしゃる	(respectful) to be, to come or to go	0.88
年月	ねんげつ	months and years	0.88
沈む	しずむ	to sink, to feel depressed	0.88
松	まつ	(1) pine tree, (2) highest (of a three-tier ranking system)	0.88
伸びる	のびる	to stretch, to extend, to make progress, to grow (beard,  body height)	0.88
便	びん	way, means	0.88
友情	ゆうじょう	friendship, fellowship	0.85
一致	いっち	(1) coincidence, agreement, (2) conformity	0.88
際	さい	on the occasion of, circumstances	0.88
知事	ちじ	prefectural governor	0.73
事故	じこ	accident	1.0
眺める	ながめる	to view, to gaze at	0.78
役に立つ	やくにたつ	to be helpful	0.78
残り	のこり	remnant, residue, remaining, left-over	1.0
工場	こうば	factory, plant, mill, workshop	0.88
入院	にゅういん・する	to hospitalise	1.0
	はさみ	scissors	0.85
別れる	わかれる	to separate	1.0
好み	このみ	liking, taste, choice	0.79
少女	しょうじょ	daughter, young lady, virgin, maiden, little girl	0.88
分野	ぶんや	field, sphere, realm, division, branch	0.85
支店	してん	branch store (office)	1.0
電灯	でんとう	electric light	0.88
知らせる	しらせる	to notify	0.88
	いち	market, fair	0.88
勉強	べんきょうする	to study	1.0
	やや	a little, partially, somewhat, a short time, a while	0.88
医師	いし	doctor, physician	0.88
梅	うめ	plum, plum-tree, lowest (of a three-tier ranking system)	0.88
世話	せわ・する	to look after	1.0
愛情	あいじょう	love, affection	1.0
合図	あいず	sign, signal	0.93
愛する	あいする	to love	1.0
	あいにく	unfortunately, Sorry,  but....	0.91
明かり	あかり	lamplight, light (in general), brightness	0.9
空き	あき	room, time to spare, emptiness	0.93
飽きる	あきる	to get tired of, to lose interest in, to have enough	0.91
握手	あくしゅ	handshake	1.0
悪魔	あくま	devil, demon, evil spirit	1.0
明ける	あける	to dawn, to become daylight	0.89
預ける	あずける	to give into custody, to entrust, to deposit	0.85
汗	あせ	sweat, perspiration	1.0
与える	あたえる	to give, to present, to award	0.85
辺り	あたり	vicinity, nearby	0.94
当たる	あたる	to be hit, to be successful, to be equivalent to	1.0
	あちこち	here and there	1.0
扱う	あつかう	to handle, to deal with, to treat	0.82
集まり	あつまり	gathering, meeting, assembly, collection	1.0
当てる	あてる	to hit, to apply a patch	1.0
暗い	くらい	gloomy	0.88
印刷	いんさつ	printing	1.0
	たまらない	intolerable, unbearable, unendurable	0.82
関心	かんしん	concern, interest	0.73
人込み	ひとごみ	crowd of people	0.75
したがって	したがって	therefore, consequently, in accordance with	0.78
新鮮	しんせん	fresh	1.0
哀れ	あわれ	helpless, pity, sorrow, grief	0.81
	もし	if	1.0
鍋	なべ	saucepan, pot	1.0
地	ち	earth	1.0
注文	ちゅうもん	order, request	1.0
植える	うえる	to plant, to grow	0.89
届く	とどく	to reach	1.0
議会	ぎかい	Diet, congress, parliament	0.76
夜中	よなか	midnight, dead of night	0.89
感覚	かんかく	sense, sensation	0.84
遂に	ついに	finally, at last	1.0
止す	よす	to cease, to abolish, to resign, to give up	0.81
幅	はば	width, breadth	0.89
選手	せんしゅ	(1) player (in game), (2) team	1.0
図	ず	figure (e.g. Fig 1), drawing, picture, illustration	0.88
	バン	bun, van (caravan), VAN (value-added network)	1.0
お見舞い	おみまい	calling on someone who is ill, enquiry	0.73
豊富	ほうふ	abundance, wealth, plenty, bounty	0.82
契約	けいやく	contract, compact, agreement	0.83
真似	まね	mimicry, imitation, behavior, pretense	0.83
座席	ざせき	seat	0.88
味方	みかた	friend, ally, supporter	1.0
逆らう	さからう	to go against, to oppose, to disobey, to defy	0.8
安定	あんてい	stability, equilibrium	0.88
鉄道	てつどう	railroad	0.89
違いない	ちがいない	(phrase) sure, no mistaking it, for certain	1.0
持ち上げる	もちあげる	to raise, to lift up, to flatter	0.89
企業	きぎょう	enterprise, undertaking	0.68
	ダイヤ	(1) dyer, (2) diagram, (3) (railway) schedule, (4) diamond	1.0
修理	しゅうり	repairing, mending	0.77
沖	おき	open sea	0.89
札	さつ	(1) token, label, (2) ticket, (3) charm	0.89
	ラジカセ / ラジオカセット	radio cassette player	1.0
重大	じゅうだい	serious, important, grave, weighty	0.81
共に	ともに	sharing with, participate in	0.89
片付ける	かたづける	to tidy up	1.0
不平	ふへい	complaint, discontent, dissatisfaction	0.88
医学	いがく	medical science	1.0
欠点	けってん	faults, defect, weakness	0.89
	ピン	pin	1.0
奥さん	おくさん	(honorable) wife	1.0
駐車場	ちゅうしゃじょう	parking lot	0.84
劣る	おとる	to fall behind, to be inferior to	0.85
全体	ぜんたい	whole, entirety, whatever (is the matter)	0.94
無視	むし	disregard, ignore	0.69
労働	ろうどう	manual labor, toil, work	0.84
	そのうち	eventually, sooner or later, of the previously mentioned	0.86
活動	かつどう	action, activity	0.89
	ちゃわん	rice bowl	0.8
合う	あう	to match	0.89
済む	すむ	to finish	0.89
貴重	きちょう	precious, valuable	0.69
込む	こむ	to be crowded	1.0
お互い	おたがい	mutual, reciprocal, each other	1.0
年月	としつき	months and years	0.89
交番	こうばん	police box	0.89
明確	めいかく	clear up, clarify, define	0.79
昨夜	ゆうべ	last night	0.89
旧	きゅう	ex-	0.88
家賃	やちん	rent	1.0
年齢	ねんれい	age, years	0.85
需要	じゅよう	demand, request	0.76
	どうしても	by all means, at any cost, no matter what	0.88
作物	さくもつ	produce (e.g. agricultural), crops	0.86
捕まる	つかまる	to be caught, to be arrested	1.0
熱心	ねっしん	zeal, enthusiasm	0.82
女子	じょし	woman, girl	0.8
返す	かえす	to return something	0.89
他人	たにん	another person, unrelated person, outsider, stranger	0.89
段	だん	step, stair, flight of steps, grade, rank, level	0.89
瞬間	しゅんかん	moment, second, instant	0.79
電報	でんぽう	telegram	0.89
委員	いいん	committee member	0.89
罪	つみ	crime, fault, indiscretion	0.88
密	みつ	secrecy, density (pop), minuteness, carefulness	1.0
瓶	びん	bottle	0.89
お祝い	おいわい	congratulation	0.89
	かまう	to mind	0.89
物語	ものがたり	tale, story, legend	0.89
空く	すく	(1) to open, to become empty, (2) to be less crowded	0.89
投票	とうひょう	voting, poll	0.81
差	さ	difference, variation	0.89
発行	はっこう	issue (publications)	0.79
支度	したく・する	to prepare	0.75
大気	たいき	atmosphere	0.89
務め	つとめ	(1) service, duty, (2) Buddhist religious services	0.89
実際	じっさい	practical, actual condition, status quo	0.84
軒	けん	eaves	0.89
宇宙	うちゅう	universe, cosmos, space	0.89
退屈	たいくつ	tedium, boredom	0.75
男子	だんし	youth, young man	0.89
別れ	わかれ	parting, separation, farewell	0.89
掴む	つかむ	to seize, to catch, to grasp	0.89
為る	なる	to change, to be of use, to reach to	0.8
暮らし	くらし	living, livelihood, subsistence, circumstances	0.89
認める	みとめる	to recognize, to appreciate, to approve, to admit, to notice	0.89
大抵	たいてい	usually, generally	1.0
不自由	ふじゆう	discomfort, disability, inconvenience, destitution	0.82
部長	ぶちょう	head of a section	0.89
輸入	ゆにゅう・する	to import	0.67
下り	くだり	down-train (going away from Tokyo)	0.89
数字	すうじ	numeral, figure	0.89
級	きゅう	class,  grade,  rank, school class,  grade	0.89
梅雨	つゆ	rainy season, rain during the rainy season	0.89
偶々	たまたま	casually, unexpectedly, accidentally, by chance	0.89
他	た	other (esp. places and things)	0.89
地方	ちほう	area, locality, district, region, the coast	0.89
度	たび	counter for occurrences	0.83
	あるいは	or, possibly	0.86
描く	かく	to draw, to paint, to sketch, to depict, to describe	1.0
観察	かんさつ	observation, survey	0.89
上等	じょうとう	superiority, first class, very good	0.89
離れる	はなれる	to be separated from, to leave, to go away, to be a long way off	0.86
	ぶどう	grapes	1.0
横断	おうだん	crossing	0.77
	とんでもない	unexpected, offensive, What a thing to say!, No way!	0.89
	なるべく	as much as possible	0.85
墓	はか	grave, tomb	0.82
万一	まんいち	by some chance, by some possibility, if by any chance, 10E4:1 odds	0.89
岩	いわ	rock, crag	1.0
辞典	じてん	dictionary	0.89
板	いた	board, plank	0.86
国語	こくご	national language	1.0
歌手	かしゅ	singer	1.0
述べる	のべる	to state, to express, to mention	0.74
承認	しょうにん	recognition, acknowledgement, approval, consent, agreement	0.81
水道	すいどう	water supply	0.89
	そこで	so (conj), accordingly, now, then, thereupon	0.88
助手	じょしゅ	helper, helpmeet, assistant, tutor	0.88
留学	りゅうがく	studying abroad	0.89
味噌	みそ	bean paste	0.89
人類	じんるい	mankind, humanity	0.89
食欲	しょくよく	appetite (for food)	0.89
克服	こくふく	subjugation, conquest	0.89
女王	じょおう	queen	0.89
支配	しはい	rule, control, direction	0.81
針	はり	needle, hand (e.g. clock)	0.89
従う	したがう	to abide (by the rules), to obey, to follow, to accompany	0.78
物音	ものおと	sounds	0.8
汽車	きしゃ	steam train	1.0
手術	しゅじゅつ	surgical operation	0.87
細かい	こまかい	small,  fine	0.81
双子	ふたご	twins, a twin	0.89
入場	にゅうじょう	entrance, admission, entering	0.89
食糧	しょくりょう	provisions, rations	0.89
微妙	びみょう	delicate, subtle	0.89
	さて	well, now, then	1.0
占める	しめる	(1) to comprise, to account for, to make up (of), (2) to hold, to occupy	0.8
議長	ぎちょう	chairman	0.89
身体	しんたい	the body	0.92
本棚	ほんだな	bookshelves	0.89
再び	ふたたび	again, once more, a second time	0.85
物価	ぶっか	prices of commodities, prices (in general)	0.89
猿	さる	monkey	1.0
大した	たいした	considerable, great, important, significant, a big deal	0.85
暮れる	くれる	to get dark, to come to an end	0.89
以前	いぜん	ago, since, before, previous	0.85
盛り	さかり	helping, serving	0.63
昼食	ちゅうしょく	lunch, midday meal	0.89
招待	しょうたい・する	to invite	0.89
商人	しょうにん	trader, shopkeeper, merchant	0.89
強調	きょうちょう	emphasis, stress, stressed point	0.8
従兄弟	いとこ	cousin (male)	1.0
奪う	うばう	to snatch away	1.0
友人	ゆうじん	friend	0.89
	つける	to turn on	1.0
浴びる	あびる	to bathe, to bask in the sun, to shower	1.0
	ねっしん	enthusiasm	1.0
怠ける	なまける	to be idle, to neglect	0.89
動かす	うごかす	to move, to shift	1.0
親切	しんせつ	kindness	1.0
