Kanji	Hiragana	English
家事	かじ	housework,domestic chores
賢い	かしこい	wise,clever,smart
歌手	かしゅ	singer
稼ぐ	かせぐ	to earn income,to labor
数える	かぞえる	to count
型	かた	mold,model,style,shape,data-type
肩	かた	shoulder
硬い	かたい	solid,hard (esp. metal, stone),unpolished writing
方々	かたがた	persons,this and that,here and there,everywhere
語る	かたる	to talk,to tell,to recite
価値	かち	value,worth,merit
	がっかり	feel disappointed,be dejected,lose heart
活気	かっき	energy,liveliness
格好	かっこう	shape,form,posture,suitability
活動	かつどう	action,activity
活用	かつよう	conjugation,practical use
悲しむ	かなしむ	to be sad,to mourn for,to regret
必ずしも	かならずしも	(not) always,(not) necessarily,(not) all,(not) entirely
	かなり	considerably,fairly,quite
可能	かのう	possible,practicable,feasible
株	かぶ	share,stock,stump (of tree)
被る	かぶる	to suffer
構う	かまう	to mind,to care about,to be concerned about
上	かみ	(1) first volume,(2) superior quality,(3) governmental
髪の毛	かみのけ	hair (head)
科目	かもく	(school) subject,curriculum,course
	かもしれない	may,might,perhaps,may be,possibly
空	から	sky
柄	がら	hilt (of a sword),haft (of a dagger),handgrip
刈る	かる	to cut (hair),to mow (grass),to harvest
皮	かわ	skin,hide,leather,fur,pelt,bark,shell
革	かわ	leather
缶	かん	can,tin
感覚	かんかく	sense,sensation
観客	かんきゃく	audience,spectator(s)
環境	かんきょう	environment,circumstance
歓迎	かんげい	welcome,reception
観察	かんさつ	observation,survey
患者	かんじゃ	a patient
勘定	かんじょう	calculation,counting,consideration
感情	かんじょう	emotion(s),feeling(s),sentiment
感心	かんしん	admiration,Well done!
関心	かんしん	concern,interest
関する	かんする	to concern,to be related
完成	かんせい	(1) complete,completion,(2) perfection,accomplishment
完全	かんぜん	perfection,completeness
管理	かんり	control,management (e.g. of a business)
完了	かんりょう	completion,conclusion
関連	かんれん	relation,connection,relevance
議員	ぎいん	member of the Diet, congress or parliament
記憶	きおく	memory,recollection,remembrance
機械	きかい	machine,mechanism
議会	ぎかい	Diet,congress,parliament
期間	きかん	period,term
機関	きかん	organ,mechanism,facility,engine
企業	きぎょう	enterprise,undertaking
効く	きく	to be effective
機嫌	きげん	humour,temper,mood
岸	きし	bank,coast,shore
生地	きじ	birthplace
記事	きじ	article,news story,report,account
技師	ぎし	engineer,technician
記者	きしゃ	reporter
傷	きず	wound,injury,hurt,cut
期待	きたい	expectation,anticipation,hope
帰宅	きたく	returning home
貴重	きちょう	precious,valuable
議長	ぎちょう	chairman
	きちんと	precisely,accurately
	きつい	tight,close,intense
気に入る	きにいる	to be pleased with,to suit
記入	きにゅう	entry,filling in of forms
記念	きねん	commemoration,memory
機能	きのう	function,faculty
気の毒	きのどく	pitiful,a pity
寄付	きふ	contribution,donation
希望	きぼう	hope,wish,aspiration
基本	きほん	foundation,basis,standard
気味	きみ	-like,-looking,-looked
奇妙	きみょう	strange,queer,curious
義務	ぎむ	duty,obligation,responsibility
疑問	ぎもん	question,problem,doubt,guess
逆	ぎゃく	reverse,opposite
旧	きゅう	ex-
級	きゅう	class, grade, rank,school class, grade
球	きゅう	globe,sphere,ball
休暇	きゅうか	holiday,day off,furlough
休憩	きゅうけい	rest,break,recess,intermission
急激	きゅうげき	sudden,precipitous,radical
吸収	きゅうしゅう	absorption,suction,attraction
救助	きゅうじょ	relief,aid,rescue
急速	きゅうそく	rapid (e.g. progress)
給料	きゅうりょう	salary,wages
器用	きよう	skillful,handy
競技	きょうぎ	game,match,contest
行儀	ぎょうぎ	manners
供給	きょうきゅう	supply,provision
教師	きょうし	teacher (classroom)
教授	きょうじゅ	teaching,instruction,professor
強調	きょうちょう	emphasis,stress,stressed point
共通	きょうつう	commonness,community
共同	きょうどう	cooperation,association,collaboration,joint
恐怖	きょうふ	be afraid,dread,dismay,terror
協力	きょうりょく	cooperation,collaboration
強力	きょうりょく	herculean strength,mountain carrier-guide
許可	きょか	permission,approval
局	きょく	court lady,lady in waiting
巨大	きょだい	huge,gigantic,enormous
嫌う	きらう	to hate,to dislike,to loathe
霧	きり	fog,mist
切れ	きれ	cloth,piece,cut,chop
切れる	きれる	(1) to cut well,to be sharp,(2) to break (off)
記録	きろく	record,minutes,document
議論	ぎろん	argument,discussion,dispute
禁煙	きんえん	No Smoking!
金額	きんがく	amount of money
金庫	きんこ	safe,vault,treasury,provider of funds
禁止	きんし	prohibition,ban
金銭	きんせん	money,cash
金属	きんぞく	metal
近代	きんだい	present day
緊張	きんちょう	tension,mental strain,nervousness
筋肉	きんにく	muscle,sinew
金融	きんゆう	monetary circulation,credit situation
句	く	sentence
食う	くう	(male) (vulg) to eat
偶然	ぐうぜん	(by) chance,unexpectedly,suddenly
臭い	くさい	odour,scent,smell,stench
鎖	くさり	chain
腐る	くさる	to rot,to go bad
癖	くせ	a habit (often a bad habit),peculiarity
管	くだ	pipe,tube
具体	ぐたい	concrete,tangible,material
下さる	くださる	(hon) to give,to confer
下り	くだり	down-train (going away from Tokyo)
苦痛	くつう	pain,agony
	ぐっすり	sound asleep,fast asleep
区別	くべつ	distinction,differentiation,classification
組	くみ	class,group,team,set
組合	くみあい	association,union
組む	くむ	to put together
位	くらい	grade,rank,about
暮らし	くらし	living,livelihood,subsistence,circumstances
暮らす	くらす	to live,to get along
	グランド	gland,grand,(electrical) ground
繰り返す	くりかえす	to repeat,to do something over again
狂う	くるう	to go mad,to get out of order
苦しむ	くるしむ	to suffer,to groan,to be worried
暮れ	くれ	year end,sunset,nightfall,end
苦労	くろう	troubles,hardships
加える	くわえる	to append,to sum up,to add (up)
詳しい	くわしい	knowing very well,detailed,full,accurate
加わる	くわわる	to join in,to accede to,to increase,to gain in (influence)
訓	くん	native Japanese reading of a Chinese character
軍	ぐん	army,force,troops
軍隊	ぐんたい	army,troops
訓練	くんれん	practice,training
下	げ	under,below,beneath
計	けい	plan
敬意	けいい	respect,honour
経営	けいえい	management,administration
計画	けいかく	plan,project,schedule,scheme,program
景気	けいき	condition,state,business (condition)
経験	けいけん	experience
傾向	けいこう	tendency,trend,inclination
警告	けいこく	warning,advice
計算	けいさん	calculation,reckoning
掲示	けいじ	notice,bulletin
刑事	けいじ	criminal case,(police) detective
芸術	げいじゅつ	(fine) art,the arts
契約	けいやく	contract,compact,agreement
経由	けいゆ	go by the way,via
劇	げき	drama,play
劇場	げきじょう	theatre,playhouse
化粧	けしょう	make-up (cosmetic)
結果	けっか	result,consequence
欠陥	けっかん	defect,fault,deficiency
結局	けっきょく	after all,eventually
決心	けっしん	determination,resolution
欠席	けっせき	absence,non-attendance
決定	けってい	decision,determination
欠点	けってん	faults,defect,weakness
結論	けつろん	conclusion
煙	けむり	smoke,fumes
券	けん	ticket,coupon,bond,certificate
県	けん	prefecture
軒	けん	eaves
喧嘩	けんか	quarrel,(drunken) brawl,failure
見解	けんかい	opinion,point of view
現金	げんきん	cash,ready money,mercenary,self-interested
健康	けんこう	health,sound,wholesome
検査	けんさ	inspection (e.g. customs, factory),examination
現在	げんざい	present,up to now,nowadays,modern times,current
現実	げんじつ	reality
現象	げんしょう	phenomenon
現状	げんじょう	present condition,existing state,status quo
建設	けんせつ	construction,establishment
現代	げんだい	nowadays,modern times,present-day
建築	けんちく	construction,architecture
見当	けんとう	be found,aim,estimate,guess,approx
検討	けんとう	consideration,examination,investigation,study,scrutiny
現場	げんば	actual spot,scene,scene of the crime
憲法	けんぽう	constitution
権利	けんり	right,privilege
恋	こい	love,tender passion
濃い	こい	thick (as of color, liquid),dense,strong
幸運	こううん	good luck,fortune
講演	こうえん	lecture,address
効果	こうか	effect,effectiveness,efficacy,result
硬貨	こうか	coin
高価	こうか	high price
豪華	ごうか	wonderful,gorgeous,splendor,pomp,extravagance
合格	ごうかく	success,passing (e.g. exam),eligibility
航空	こうくう	aviation,flying
光景	こうけい	scene,spectacle
合計	ごうけい	sum total,total amount
攻撃	こうげき	attack,strike,offensive,criticism,censure
貢献	こうけん	contribution,services
広告	こうこく	advertisement
交際	こうさい	company,friendship,association,society,acquaintance
後者	こうしゃ	the latter
工場	こうば	factory,plant,mill,workshop
構成	こうせい	organization,composition
高速	こうそく	high speed,high gear
行動	こうどう	action,conduct,behaviour,mobilization
強盗	ごうとう	robbery,burglary
幸福	こうふく	happiness,blessedness
公平	こうへい	fairness,impartial,justice
候補	こうほ	candidacy
考慮	こうりょ	consideration,taking into account
越える	こえる	to exceed,to cross over,to cross
凍る	こおる	to freeze,to be frozen over,to congeal
誤解	ごかい	misunderstanding
語学	ごがく	language study
呼吸	こきゅう	breath,respiration
故郷	こきょう	home town,birthplace,old village,historic village
極	ごく	quite,very
国語	こくご	national language
黒板	こくばん	blackboard
克服	こくふく	subjugation,conquest
国民	こくみん	national,people,citizen
穀物	こくもつ	grain,cereal,corn
腰	こし	hip
故障	こしょう	break-down,failure,accident,out of order
個人	こじん	individual,private person,personal,private
越す	こす	to go over (e.g. with audience)
国家	こっか	state,country,nation
国会	こっかい	National Diet,parliament,congress
国境	こっきょう	national or state border
骨折	こっせつ	bone fracture
小包	こづつみ	parcel,package
異なる	ことなる	to differ,to vary,to disagree
諺	ことわざ	proverb,maxim
粉	こな	flour,meal,powder
好み	このみ	liking,taste,choice
好む	このむ	to like,to prefer
塵	ごみ	dust,dirt
小麦	こむぎ	wheat
小屋	こや	hut,cabin,shed,(animal) pen
	これら	these
転ぶ	ころぶ	to fall down,to fall over
今後	こんご	from now on,hereafter
混雑	こんざつ	confusion,congestion
	こんなに	so,like this,in this way
困難	こんなん	difficulty,distress
婚約	こんやく	engagement,betrothal
混乱	こんらん	disorder,chaos,confusion,mayhem
差	さ	difference,variation
際	さい	on the occasion of,circumstances
最高	さいこう	highest,supreme,the most
財産	ざいさん	property,fortune,assets
最終	さいしゅう	last,final,closing
最中	さいちゅう	in the middle of
最低	さいてい	least,lowest,worst
才能	さいのう	talent,ability
裁判	さいばん	trial,judgement
材料	ざいりょう	ingredients,material
幸い	さいわい	happiness,blessedness
境	さかい	border,boundary,mental state
逆らう	さからう	to go against,to oppose,to disobey,to defy
盛り	さかり	helping,serving
作業	さぎょう	work,operation,manufacturing,fatigue duty
昨	さく	last (year),yesterday
作物	さくもつ	produce (e.g. agricultural),crops
避ける	さける	(1) to avoid (physical contact ),(2) to ward off,to avert
支える	ささえる	to be blocked,to choke,to be obstructed
指す	さす	to point,to put up umbrella,to play
座席	ざせき	seat
札	さつ	(1) token,label,(2) ticket,(3) charm
作家	さっか	author,writer,novelist,artist
作曲	さっきょく	composition,setting (of music)
	ざっと	roughly,in round numbers
	さっぱり	feeling refreshed,feeling relieved,neat,trimmed
	さて	well,now,then
砂漠	さばく	desert
差別	さべつ	discrimination,distinction,differentiation
作法	さほう	manners,etiquette,propriety
様々	さまざま	varied,various
覚ます	さます	to awaken
覚める	さめる	to wake,to wake up
左右	さゆう	(1) left and right,(2) influence,control,domination
更に	さらに	furthermore,again,after all,more and more,moreover
去る	さる	to leave,to go away
猿	さる	monkey
騒ぎ	さわぎ	uproar,disturbance
参加	さんか	participation
参考	さんこう	reference,consultation
酸素	さんそ	oxygen
氏	し	family name,lineage,birth
詩	し	poem,verse of poetry
ジェット機	ジェットき	jet aeroplane
直に	じかに	immediately,readily,directly
	しかも	moreover,furthermore,nevertheless,and yet
叱る	しかる	to scold
式	しき	equation,formula,ceremony
直	じき	earnestly,immediately,exactly
時期	じき	time,season,period
支給	しきゅう	payment,allowance
	しきりに	frequently,repeatedly,incessantly,eagerly
刺激	しげき	stimulus,impetus,incentive
資源	しげん	resources
事件	じけん	event,affair,incident
時刻	じこく	instant,time,moment
自殺	じさつ	suicide
事実	じじつ	fact,truth,reality
支出	ししゅつ	expenditure,expenses
事情	じじょう	circumstances,consideration,conditions,situation,reasons
詩人	しじん	poet
自身	じしん	by oneself,personally
沈む	しずむ	to sink,to feel depressed
自然	しぜん	nature,spontaneous
思想	しそう	thought,idea
舌	した	tongue
次第	しだい	(1) order,precedence,(2) circumstances,(3) immediate(ly)
事態	じたい	situation,present state of affairs
従う	したがう	to abide (by the rules),to obey,to follow,to accompany
したがって	したがって	therefore,consequently,in accordance with
支度	したく	preparation
親しい	したしい	intimate,close (e.g. friend)
質	しつ	quality,nature (of person)
失業	しつぎょう	unemployment
実験	じっけん	experiment
実現	じつげん	implementation,materialization,realization
実行	じっこう	practice,performance,execution (e.g. program),realization
実際	じっさい	practical,actual condition,status quo
実施	じっし	enforcement,enact,put into practice,carry out,operation
	じっと	fixedly,firmly,patiently,quietly
実に	じつに	indeed,truly,surely
失望	しつぼう	disappointment,despair
支店	してん	branch store (office)
指導	しどう	leadership,guidance,coaching
自動	じどう	automatic,self-motion
品	しな	thing,article,goods,dignity,article (goods),counter for meal courses
支配	しはい	rule,control,direction
芝居	しばい	play,drama
	しばしば	often,again and again,frequently
芝生	しばふ	lawn
支払	しはらい	payment
支払う	しはらう	to pay
死亡	しぼう	death,mortality
資本	しほん	funds,capital
しまい	（終わり）	sisters
姉妹	しまい	sisters
しまう	（終わる）	to finish,to close,to do something completely
自慢	じまん	pride,boast
事務	じむ	business,office work
示す	しめす	to denote,to show,to point out,to indicate
占める	しめる	(1) to comprise,to account for,to make up (of),(2) to hold,to occupy
下	しも	under,below,beneath
霜	しも	frost
借金	しゃっきん	debt,loan,liabilities
州	しゅう	sandbank
銃	じゅう	gun
周囲	しゅうい	surroundings,circumference,environs
収穫	しゅうかく	harvest,crop,ingathering
宗教	しゅうきょう	religion
重視	じゅうし	importance,stress,serious consideration
就職	しゅうしょく	finding employment,inauguration
修正	しゅうせい	amendment,correction,revision,modification
渋滞	じゅうたい	congestion (e.g. traffic),delay,stagnation
重大	じゅうだい	serious,important,grave,weighty
住宅	じゅうたく	resident,housing
集団	しゅうだん	group,mass
集中	しゅうちゅう	concentration,focusing the mind
収入	しゅうにゅう	income,receipts,revenue
住民	じゅうみん	citizens,inhabitants,residents,population
重要	じゅうよう	important,momentous,essential,principal,major
修理	しゅうり	repairing,mending
主義	しゅぎ	doctrine,rule,principle
宿泊	しゅくはく	lodging
手術	しゅじゅつ	surgical operation
首相	しゅしょう	Prime Minister
手段	しゅだん	means,way,measure
主張	しゅちょう	claim,request,insistence,assertion
出席	しゅっせき	attendance,presence
出版	しゅっぱん	publication
首都	しゅと	capital city
主要	しゅよう	chief,main,principal,major
需要	じゅよう	demand,request
種類	しゅるい	variety,kind,type
順	じゅん	order,turn
瞬間	しゅんかん	moment,second,instant
順調	じゅんちょう	favourable,doing well,O.K.,all right
順番	じゅんばん	turn (in line),order of things
使用	しよう	use,application,employment,utilization
章	しょう	(1) chapter,section,(2) medal
賞	しょう	prize,award
上	じょう	(1) first volume,(2) superior quality,(3) governmental
障害	しょうがい	obstacle,impediment (fault),damage
奨学金	しょうがくきん	scholarship
乗客	じょうきゃく	passenger
上京	じょうきょう	proceeding to the capital (Tokyo)
条件	じょうけん	conditions,terms
正午	しょうご	noon,mid-day
正直	しょうじき	honesty,integrity,frankness
常識	じょうしき	common sense
少女	しょうじょ	daughter,young lady,virgin,maiden,little girl
少々	しょうしょう	just a minute,small quantity
症状	しょうじょう	symptoms,condition
生じる	しょうじる	to produce,to yield,to result from,to arise,to be generated
招待	しょうたい	invitation
状態	じょうたい	condition,situation,circumstances,state
上達	じょうたつ	improvement,advance,progress
承知	しょうち	consent,acceptance,assent,admitting
上等	じょうとう	superiority,first class,very good
衝突	しょうとつ	collision,conflict
商人	しょうにん	trader,shopkeeper,merchant
承認	しょうにん	recognition,acknowledgement,approval,consent,agreement
商売	しょうばい	trade,business,commerce,transaction,occupation
消費	しょうひ	consumption,expenditure
商品	しょうひん	commodity,article of commerce,goods,stock,merchandise
消防	しょうぼう	fire fighting,fire department
情報	じょうほう	information,(military) intelligence
証明	しょうめい	proof,verification
女王	じょおう	queen
職	しょく	employment
職業	しょくぎょう	occupation,business
食事	しょくじ	meal
食卓	しょくたく	dining table
食品	しょくひん	commodity,foodstuff
植物	しょくぶつ	plant,vegetation
食物	しょくもつ	food,foodstuff
食欲	しょくよく	appetite (for food)
食料	しょくりょう	food
食糧	しょくりょう	provisions,rations
書斎	しょさい	study
女子	じょし	woman,girl
助手	じょしゅ	helper,helpmeet,assistant,tutor
徐々に	じょじょに	slowly,little by little,gradually,steadily,quietly
署名	しょめい	signature
書物	しょもつ	books
女優	じょゆう	actress
処理	しょり	processing,dealing with,treatment,disposition,disposal
書類	しょるい	documents,official papers
知らせ	しらせ	notice
尻	しり	buttocks,bottom
印	しるし	(1) mark,(2) symbol,(3) evidence
城	しろ	castle
進学	しんがく	going on to university
神経	しんけい	nerve,sensitivity
真剣	しんけん	seriousness,earnestness
信仰	しんこう	(religious) faith,belief,creed
信号	しんごう	traffic lights,signal,semaphore
人工	じんこう	artificial,manmade,human work,human skill,artificiality
深刻	しんこく	serious
診察	しんさつ	medical examination
人種	じんしゅ	race (of people)
人生	じんせい	(human) life (i.e. conception to death)
親戚	しんせき	relative
新鮮	しんせん	fresh
身体	しんたい	the body
身長	しんちょう	height (of body),stature
慎重	しんちょう	discretion,prudence
審判	しんぱん	refereeing,trial,judgement,umpire,referee
人物	じんぶつ	character,personality,person,man,personage,talented man
進歩	しんぽ	progress,development
親友	しんゆう	close friend,buddy
信用	しんよう	confidence,dependence,credit,faith
信頼	しんらい	reliance,trust,confidence
心理	しんり	mentality
人類	じんるい	mankind,humanity
巣	す	nest,rookery,breeding place,beehive,cobweb
図	ず	figure (e.g. Fig 1),drawing,picture,illustration
水準	すいじゅん	(1) water level,(2) level,standard
推薦	すいせん	recommendation
睡眠	すいみん	sleep
数	すう	number,figure
数字	すうじ	numeral,figure
末	すえ	the end of,powder
姿	すがた	figure,shape,appearance
空く	すく	(1) to open,to become empty,(2) to be less crowded
救う	すくう	to rescue from,to help out of
優れる	すぐれる	to surpass,to outstrip,to excel
少しも	すこしも	anything of,not one bit
過ごす	すごす	to pass,to spend,to go through,to tide over
筋	すじ	muscle,string,line
進める	すすめる	to advance,to promote,to hasten
頭痛	ずつう	headache
既に	すでに	already,too late
	すなわち	that is,namely,i.e.
済ませる	すませる	to be finished
角	すみ	horn
為る	する	to change,to be of use,to reach to
すると	すると	thereupon,hereupon
鋭い	するどい	pointed,sharp
正	せい	(logical) true,regular
生	せい	(1) draft (beer),(2) raw,unprocessed
性	せい	sex,gender
所為	せい	cause,reason,fault
税	ぜい	
性格	せいかく	character,personality
正確	せいかく	accurate,punctuality,exactness,authenticity,veracity
世紀	せいき	century,era
請求	せいきゅう	claim,demand,application,request
税金	ぜいきん	tax,duty
清潔	せいけつ	clean
制限	せいげん	restriction,restraint,limitation
成功	せいこう	success,hit
生産	せいさん	production,manufacture
正式	せいしき	due form,official,formality
精神	せいしん	mind,soul,heart,spirit,intention
成人	せいじん	adult
精々	せいぜい	at the most,at best,to the utmost,as much (far) as possible
成績	せいせき	results,record
製造	せいぞう	manufacture,production
贅沢	ぜいたく	luxury,extravagance
制度	せいど	system,institution,organization
青年	せいねん	youth,young man
製品	せいひん	manufactured goods,finished goods
政府	せいふ	government,administration
生物	せいぶつ	raw food
生命	せいめい	life,existence
整理	せいり	sorting,arrangement,adjustment,regulation
咳	せき	cough
石炭	せきたん	coal
責任	せきにん	duty,responsibility
石油	せきゆ	oil,petroleum,kerosene
世間	せけん	world,society
説	せつ	theory
積極的	せっきょくてき	positive,active,proactive
設計	せっけい	plan,design
絶対	ぜったい	absolute,unconditional,absoluteness
	セット	set
設備	せつび	equipment,device,facilities,installation
絶滅	ぜつめつ	destruction,extinction
節約	せつやく	economising,saving
責める	せめる	to condemn,to blame,to criticize
善	ぜん	good,goodness,right,virtue
全員	ぜんいん	all members (unanimity),all hands,the whole crew
先日	せんじつ	the other day,a few days ago
前者	ぜんしゃ	the former
選手	せんしゅ	(1) player (in game),(2) team
前進	ぜんしん	advance,drive,progress
